gpsfilename;frame;lat;lon;frame_del;min;max;thickness
_6_ 09.04.2016 7_03_43.gps;3279;52.02868333;105.4515767;3279;2.58;6.22;32
_6_ 09.04.2016 7_03_43.gps;3317;52.02873667;105.4516833;3317;2.58;6.3;33
_6_ 09.04.2016 7_03_43.gps;3362;52.02878667;105.45179;3362;2.58;5.94;30
_6_ 09.04.2016 7_03_43.gps;3413;52.02884;105.4518933;3413;2.55;6.33;34
_6_ 09.04.2016 7_03_43.gps;3500;52.02889333;105.4519967;3500;2.58;6.08;31
_6_ 09.04.2016 7_03_43.gps;3543;52.02894667;105.4521017;3543;2.55;6.16;32
_6_ 09.04.2016 7_03_43.gps;3582;52.029;105.4522067;3582;2.58;6.19;32
_6_ 09.04.2016 7_03_43.gps;3627;52.02905333;105.4523133;3627;2.66;6.27;32
_6_ 09.04.2016 7_03_43.gps;3671;52.02910667;105.45242;3671;2.58;5.97;30
_6_ 09.04.2016 7_03_43.gps;3758;52.02915833;105.4525267;3758;2.58;6.41;34
_6_ 09.04.2016 7_03_43.gps;3801;52.02921167;105.45263;3801;2.58;6.38;34
_6_ 09.04.2016 7_03_43.gps;3841;52.02926667;105.45273;3841;2.86;6.36;31
_6_ 09.04.2016 7_03_43.gps;3883;52.02932167;105.45283;3883;2.55;6.13;32
_6_ 09.04.2016 7_03_43.gps;3925;52.029375;105.4529317;3925;2.55;6.25;33
_6_ 09.04.2016 7_03_43.gps;4013;52.02943;105.453035;4013;2.55;6.33;34
_6_ 09.04.2016 7_03_43.gps;4052;52.02948333;105.4531383;4052;2.55;7.16;41
_6_ 09.04.2016 7_03_43.gps;4090;52.02953667;105.4532433;4090;2.58;7.13;40
_6_ 09.04.2016 7_03_43.gps;4129;52.02958167;105.45334;4129;2.58;5.77;28
_6_ 09.04.2016 7_03_43.gps;4171;52.02963;105.45344;4171;2.58;6.13;31
_6_ 09.04.2016 7_03_43.gps;4257;52.02968167;105.4535433;4257;2.58;6.47;35
_6_ 09.04.2016 7_03_43.gps;4298;52.02973167;105.4536467;4298;2.58;6.91;38
_6_ 09.04.2016 7_03_43.gps;4338;52.029785;105.45375;4338;2.61;6.52;35
_6_ 09.04.2016 7_03_43.gps;4379;52.02983833;105.45385;4379;2.63;6.61;35
_6_ 09.04.2016 7_03_43.gps;4422;52.02989333;105.45395;4422;2.61;6.44;34
_6_ 09.04.2016 7_03_43.gps;4508;52.02994833;105.4540467;4508;2.61;6.3;33
_6_ 09.04.2016 7_03_43.gps;4548;52.03000667;105.4541433;4548;2.58;6.33;33
_6_ 09.04.2016 7_03_43.gps;4587;52.03006833;105.45424;4587;2.58;5.94;30
_6_ 09.04.2016 7_03_43.gps;4628;52.03013;105.4543283;4628;2.61;6.47;34
_6_ 09.04.2016 7_03_43.gps;4675;52.03019167;105.4544133;4675;2.52;5.5;26
_6_ 09.04.2016 7_03_43.gps;4759;52.03025667;105.4544917;4759;2.58;6.55;35
_6_ 09.04.2016 7_03_43.gps;4800;52.03032333;105.4545667;4800;2.58;6.44;34
_6_ 09.04.2016 7_03_43.gps;4839;52.03038833;105.454645;4839;2.58;6.27;33
